path_x0,path_y0,path_distance00,path_x01,path_y01,path_distance01,path_x02,path_y02,path_distance02,path_x03,path_y03,path_distance03,path_x04,path_y04,path_distance04,path_x05,path_y05,path_distance05,path_x06,path_y06,path_distance06,path_x07,path_y07,path_distance07,path_x08,path_y08,path_distance08,path_x09,path_y09,path_distance09,path_x1,path_y1,path_distance1
-69.72494998,0,1.00587E-05,-71.22297742,0.13000319,0.031102071,-71.27550939,-0.185026169,-0.036274326,-71.25001038,-0.42512896,-0.078079732,-71.33566323,-0.756421412,-0.077390182,-71.36136791,-1.099678058,-0.073518065,-71.35244506,-1.356059132,-0.075780257,-71.28604151,-1.681337375,-0.084125375,-71.35210101,-1.971060604,-0.093138362,-71.40062123,-2.166891483,-0.09821029,-71.34603544,-2.455632893,-0.108023927
-70.07245001,0,1.1871E-05,-71.58310148,0.130380616,0.031490453,-71.63747877,-0.186194896,-0.036470195,-71.61286233,-0.427651592,-0.078415433,-71.69888875,-0.760545769,-0.078034632,-71.72386131,-1.105386863,-0.074387211,-71.71669333,-1.363173721,-0.076714047,-71.65003527,-1.690045587,-0.085221806,-71.71643552,-1.981289978,-0.094342214,-71.76616736,-2.178227234,-0.099497782,-71.71148141,-2.46848136,-0.10942323
-70.41894665,0,1.36724E-05,-71.94223805,0.130741176,0.031875121,-71.99844721,-0.187372844,-0.036648926,-71.97471723,-0.430181792,-0.078719073,-72.06112034,-0.764675679,-0.078637922,-72.08536002,-1.111088653,-0.075214511,-72.07994441,-1.370278051,-0.077602487,-72.01303529,-1.698737794,-0.086264036,-72.07977658,-1.99150091,-0.095483049,-72.13071731,-2.189548198,-0.100713505,-72.07593889,-2.481313432,-0.110740728
-70.76443972,0,1.54549E-05,-72.30038619,0.131085309,0.032254996,-72.3584169,-0.188567015,-0.036803772,-72.33557694,-0.43272206,-0.078988327,-72.42235357,-0.768809565,-0.079201629,-72.4458617,-1.116782168,-0.076001152,-72.44219474,-1.377370655,-0.078446811,-72.37503851,-1.70741457,-0.087251245,-72.44212035,-2.001691445,-0.09656256,-72.49427672,-2.200855761,-0.101856063,-72.43941182,-2.494124904,-0.111980606
-71.10892927,0,1.7211E-05,-72.65754858,0.131413024,0.032629384,-72.71738675,-0.189773602,-0.036938802,-72.69543689,-0.43527034,-0.079225433,-72.78259255,-0.772947214,-0.079726086,-72.80536805,-1.12246812,-0.076746422,-72.80344526,-1.384451024,-0.079247453,-72.73604679,-1.716074812,-0.088184465,-72.80346861,-2.011861526,-0.097580789,-72.85683905,-2.21215061,-0.102924512,-72.80190277,-2.506918796,-0.113139857
-71.45241604,0,1.89333E-05,-73.0137236,0.131725385,0.032996491,-73.0753606,-0.190993671,-0.037053256,-73.05430216,-0.43782759,-0.079429715,-73.14183117,-0.77708989,-0.080210064,-73.16387582,-1.128146136,-0.077450653,-73.16369292,-1.391517656,-0.080005857,-73.09605654,-1.724719902,-0.089062183,-73.16381836,-2.022009237,-0.098539597,-73.2184111,-2.223428976,-0.103922887,-73.16340368,-2.519692722,-0.114220606
-71.79490089,0,2.06149E-05,-73.36891316,0.13201986,0.033358091,-73.43233714,-0.192224992,-0.037149677,-73.41216794,-0.44039359,-0.079601619,-73.50007333,-0.781235587,-0.080655769,-73.52138692,-1.133815938,-0.078114214,-73.5229406,-1.39857205,-0.080720665,-73.45506879,-1.733348204,-0.089886084,-73.52317351,-2.032136576,-0.099437204,-73.57898713,-2.234693413,-0.104848583,-73.52392038,-2.532448461,-0.115221415
-72.13638461,0,2.22494E-05,-73.72311571,0.132299457,0.033710404,-73.78831851,-0.193467847,-0.037228146,-73.76903877,-0.442967203,-0.079742602,-73.85731332,-0.785387105,-0.081060546,-73.87789875,-1.139478051,-0.078736642,-73.88118571,-1.405619387,-0.081386804,-73.81308475,-1.741960889,-0.090655104,-73.88153108,-2.042248096,-0.100269148,-73.93857019,-2.245940973,-0.105704818,-73.88344514,-2.545184803,-0.116143454
-72.47686839,0,2.3831E-05,-74.07632967,0.132562102,0.034054725,-74.14330162,-0.194723328,-0.037287955,-74.12490934,-0.445550187,-0.079851188,-74.21355329,-0.789541103,-0.08142802,-74.23341247,-1.14513122,-0.079319353,-74.23843353,-1.412662083,-0.082002167,-74.17010177,-1.750556862,-0.091370425,-74.23889714,-2.05234711,-0.101032524,-74.29716321,-2.257174418,-0.106489189,-74.24198469,-2.55790159,-0.116987463
-72.81635322,0,2.53542E-05,-74.42855723,0.132809435,0.034388653,-74.49728697,-0.195989412,-0.037331575,-74.47978212,-0.448139917,-0.0799304,-74.56879612,-0.793699736,-0.081756371,-74.58792999,-1.150777074,-0.079860919,-74.59467976,-1.419704396,-0.082562665,-74.52612324,-1.75913662,-0.092031835,-74.59526574,-2.062436788,-0.101724293,-74.65475976,-2.268391796,-0.107203795,-74.59953232,-2.570599561,-0.117752888
